com,sim_content,sin_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,stop_word_ratio,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,is_mail,comment_duplication,classifier_val
UgybOis_sctkuU3XWE94AaABAg,0.14270071280304714,0.17965266338769925,3,0.0,1,18,0,0,0.0,13242.55,0,0,0,0,0,0,0
UgxqbeRQ5s5jBBgUcgV4AaABAg,0.3469487440714084,0.4035783117722481,16,0.0,4,103,0,1,0.0,12764.816666666668,1,0,0,0,0,0,0
UgyCzlt2OKeVbD8YrSF4AaABAg,0.5535495563376253,0.6074720010689356,71,0.11267605633802813,6,432,0,0,0.056338028169014086,12323.5,2,0,0,0,0,0,0
UgzDLNdt2UvfCb-wEXx4AaABAg,0.14832223718369017,0.3006797700004553,2,0.0,1,14,0,0,0.0,11950.9,0,0,0,0,0,0,0
UgxvCMutsGZ1pS0OqNZ4AaABAg,0.5833924696323727,0.5857714307168428,59,0.0847457627118644,1,365,0,0,0.01694915254237288,11935.766666666666,4,0,0,0,0,0.08321775458888182,0
UgwgT63w8o6B9PrUSwZ4AaABAg,0.6015312441540377,0.6236550380498311,104,0.16346153846153844,1,631,0,0,0.057692307692307696,11926.216666666667,5,0,0,0,0,0.08321775458888181,0
UgwXGesc6tLarlB8oiF4AaABAg,0.06269812208482732,0.0853637418349929,7,0.0,1,41,4,0,0.0,11926.216666666667,0,1,1,0,0,0.0,1
UgzcU1od93cFyfm6-sZ4AaABAg,0.20736030012479945,0.23227429350319134,8,0.0,1,47,3,0,0.125,11611.116666666667,0,0,0,0,0,0,0
UgwQNDOQczQSelnKolN4AaABAg,0.4532108073677555,0.4848581619005461,31,0.12903225806451613,2,194,0,1,0.06451612903225806,11567.716666666667,2,0,0,0,0,0,0
Ugz-JinLxAKaCLiLUAV4AaABAg,0.2745434047400881,0.27789990355508914,6,0.0,1,30,0,0,0.0,11493.8,1,0,0,0,0,0,0
UgxYly2NrEyT3bDu3CJ4AaABAg,0.18410671156503353,0.22079202599012418,5,0.0,1,33,0,0,0.0,11445.15,0,0,0,0,0,0,0
UgyEIekI-MaTkyHfLrd4AaABAg,0.5251418721232275,0.5410225671870305,65,0.07692307692307687,1,420,3,0,0.046153846153846156,10715.6,1,0,0,0,0,0.030338241319814153,0
UgzWrnvW2S8j9JAcOhp4AaABAg,0.13936351301610894,0.15656809448765305,9,0.0,1,45,0,0,0.1111111111111111,10572.683333333332,0,0,0,0,0,0,0
UgzksHzKPXpQKHAuel94AaABAg,0.16721204833516648,0.15038578556440158,7,0.0,2,40,0,0,0.0,10571.8,0,0,0,0,0,0,0
UgwAO4nmxkFpJJ-iHY14AaABAg,0.3258756895841636,0.35065242943422104,16,0.0625,2,82,0,0,0.0625,10532.983333333334,1,0,0,0,0,0,0
