,sim_content,sim_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,comment_duplication,is_spam
6211,0.319137699422313,0.3251634259045688,2.172002912771959,0.0714285714285714,1,4.394449154672439,0.0,0,37.516380508096994,0.0714285714285714,0,0,0,0.0,0
6212,0.16162677233403372,0.214099299056953,2.067766531677414,0.0,3,4.143134726391533,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6213,0.21753212859653884,0.26960212269512507,2.1221975068919443,0.0769230769230768,1,4.1588830833596715,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6214,0.15849908655925124,0.20664297750757585,2.0078369533566427,0.0,1,4.127134385045092,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6215,0.1306097894752195,0.2756958470433336,1.2493667550944338,0.0,1,3.5553480614894135,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6216,0.14913152388196443,0.17211105597712156,1.6833866671013589,0.0,1,3.58351893845611,1.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6217,0.0022842860280339926,0.037506113901603744,0.6577184652347845,0.0,1,2.0794415416798357,0.0,1,37.516380508096994,0.0,0,0,0,0.0,0
6218,0.31616288936471587,0.38322320517473885,2.463861005791878,0.0,1,4.74493212836325,0.0,1,37.516380508096994,0.0909090909090909,0,0,0,0.0,0
6219,0.16156619865042463,0.2606004061076874,1.7815818553180407,0.0,1,3.970291913552122,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6220,0.051203966585805005,0.18262482352310364,1.011389276208988,0.0,1,2.833213344056216,0.0,1,37.516380508096994,0.0,0,0,0,0.0,0
6221,0.18388206665957255,0.24696399795625776,2.067766531677414,0.0,1,4.174387269895637,0.0,0,37.516380508096994,0.0833333333333333,0,0,0,0.0,0
6222,0.25791712174793935,0.28379887797316,2.0078369533566427,0.0,2,4.248495242049359,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6223,0.09309573239086051,0.12976959118275846,0.6577184652347845,0.0,1,2.0794415416798357,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6224,0.20640677942419786,0.2348855355684609,2.4039818902358454,0.0,3,4.882801922586371,0.0,1,37.516380508096994,0.0,0,0,0,0.0,0
6225,0.06858923247770504,0.17922261028169817,0.6577184652347845,0.0,1,2.0794415416798357,0.0,1,37.516380508096994,0.5,0,0,0,0.0,0
6226,0.2570516944938776,0.21769639051556525,1.567510066475342,0.0,1,3.4011973816621555,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6227,0.16945894043283144,0.19543200313776776,1.426888666448961,0.0,1,3.4339872044851463,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6228,0.1567706166973605,0.22456861732056588,1.6833866671013589,0.0,1,3.871201010907891,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
