cid,sim_content,sim_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,comment_duplication,is_spam
Ugx7xHkP9fr7JQB2FeF4AaABAg,0.34220452401334484,0.34550113378228325,20,0.0,1,103,0,0,192089.0,0.05,0,0,0,0,0
UgxGZk_gcuRhNkz0p354AaABAg,0.3496771010123689,0.31941647124924005,9,0.0,1,64,0,0,189449.0,0.0,0,0,0,0,0
UgxqpsFRTrrvhnNQPhV4AaABAg,0.12071187902977741,0.09753244082943206,3,0.0,1,22,0,0,184198.0,0.0,0,0,0,0,0
UgxxkKRaZ1JhUYLqvxt4AaABAg,0.14498012166816765,0.33022158950257274,4,0.0,1,18,0,0,164466.0,0.0,0,0,0,0,0
Ugy3FIdfRUTwAab35vV4AaABAg,0.25073566658096896,0.20035277336009144,6,0.0,1,33,0,0,162925.0,0.0,0,0,0,0,0
UgwKe7fJGLi_BHmm20d4AaABAg,0.2821506204011688,0.24662795446981534,5,0.0,1,27,0,1,161340.0,0.0,0,0,0,0,0
UgwJ6htG49Xg8aDSFdR4AaABAg,0.16343304555266233,0.157643299798477,5,0.0,1,23,0,0,160191.0,0.0,0,0,0,0,0
UgweJFlT1VaoPhqnzGd4AaABAg,0.05613378928293207,0.08534340782102119,3,0.0,1,11,0,0,159477.0,0.0,0,0,0,0,0
Ugw99p68IEE-O6iaZ1p4AaABAg,0.25245215721161846,0.29894578535669203,8,0.0,1,37,0,0,157079.0,0.375,0,0,0,0,0
UgyN7CAeBazuWw1wSeB4AaABAg,0.1756616368452701,0.18874670198283247,6,0.0,1,33,0,0,150758.0,0.16666666666666666,0,0,0,0,1
UgyFkKsnHpNwN6O-IrZ4AaABAg,0.13209522033669627,0.18499568029175734,8,0.0,2,43,1,1,149029.0,0.0,0,0,0,0,0
Ugz4bkf46pvm1jjlOEd4AaABAg,0.28412949812202193,0.2700940055534799,13,0.0,1,75,1,0,148891.0,0.07692307692307693,0,0,0,0,0
Ugwn2a2EzKYGhc0ngYF4AaABAg,0.17609303719684816,0.22208835178121955,8,0.0,1,50,0,0,148442.0,0.0,0,0,0,0,0
UgxPRo0bUERU-6WrbwZ4AaABAg,0.1985892809716986,0.2768458166352189,7,0.0,1,41,0,0,143555.0,0.0,0,0,0,0,0
Ugy_eiwOwXykdE0vvUt4AaABAg,0.1905928154947307,0.3211302898975044,7,0.0,1,36,0,0,142462.0,0.0,0,0,0,0,0
UgycrrFzWBKq1DInSZh4AaABAg,0.23341209632484944,0.303381505711113,9,0.0,1,41,0,0,135721.0,0.2222222222222222,0,0,0,0,0
UgwNYPo_Pt9TCmQVPTR4AaABAg,0.18428316255655094,0.23729061909648402,5,0.0,1,27,0,0,133760.0,0.0,0,0,0,0,0
UgzxeIhkfNhrwEVIFU14AaABAg,0.24358398147148105,0.22302626592924862,7,0.0,1,35,0,0,131650.0,0.0,0,0,0,0,0
Ugwhksy062rO2D81i714AaABAg,0.24662525995570142,0.1960761976745236,6,0.0,1,29,0,0,127196.0,0.0,0,0,0,0,0
Ugw0HbTJXbpjm1NwBUh4AaABAg,0.035964650631825204,0.2953924517083167,2,0.0,1,6,0,0,112877.0,0.0,0,0,0,0,0
UgyH8LXIweYD3byhi9Z4AaABAg,0.1402466786876313,0.19272077873071217,4,0.0,1,23,0,0,110412.0,0.0,0,0,0,0,0
UgwF31VnaSQ6QxPaH0h4AaABAg,0.09446428706203257,0.2569112687665385,4,0.0,1,21,0,0,110278.0,0.0,0,0,0,0,0
UgwUYgl3toBtV_bLzP54AaABAg,0.07528779569438501,0.11041856619213548,3,0.0,1,17,0,0,109728.0,0.0,0,0,0,0,0
Ugz5rAf1GwM21SD7h0Z4AaABAg,0.19677573370005877,0.2602191883868821,7,0.0,1,35,0,0,109312.0,0.14285714285714285,0,0,0,0,0
Ugxt1RDmkewM8xYsAdt4AaABAg,0.040571524626053214,0.06047288241540655,3,0.0,1,9,0,0,107944.0,0.0,0,0,0,0.0,0
UgwmhKTHnJdH_2iQvA54AaABAg,0.19937824567199955,0.21286029128431316,5,0.0,1,26,0,0,107922.0,0.0,0,0,0,0.0,0
Ugz4jAm8HDI50NSkrrp4AaABAg,0.16048046768842372,0.1505747135337012,14,0.0,1,82,5,0,100966.0,0.0,1,1,0,0,1
Ugwj7QEvbzgzG6GW7-x4AaABAg,0.12223337737531306,0.2583469290160682,5,0.0,1,23,0,0,99373.0,0.0,0,0,0,0,0
Ugw2Ayvrt3rLlLh5F7l4AaABAg,0.021053013185569423,0.03954209863571847,3,0.0,1,13,0,0,97964.0,0.0,0,0,0,0,0
Ugw5rX0nu1KHNzQOMtt4AaABAg,0.007919784109674664,0.06000794357370313,2,0.0,1,14,0,0,97518.0,0.5,0,0,0,0,1
UgwaK7V6xItLGV4Mx4R4AaABAg,0.10194187197139412,0.09760417278646219,17,0.0,4,108,9,0,96846.0,0.0,1,1,0,0,1
UgwD9nc2MeomXN8bNyN4AaABAg,0.18042938871928918,0.1639867506984509,6,0.0,1,34,0,0,95442.0,0.0,0,0,0,0,0
UgwcsCirJlY2WVAccHJ4AaABAg,0.3170220740795167,0.28979167543468887,12,0.0,4,75,1,1,87053.0,0.08333333333333333,0,0,0,0,0
Ugw1ic5lTDVO-CeXk0V4AaABAg,0.1794248776849067,0.2623654098836598,4,0.0,1,21,0,0,86935.0,0.0,0,0,0,0,0
UgzsM8i5nlCgtMProPV4AaABAg,0.035964650631825204,0.2953924517083167,2,0.0,1,6,0,0,83541.0,0.0,0,0,0,0,0
UgxGWPSNpCUuE5qbN5B4AaABAg,0.2334940840560784,0.19811940785674495,8,0.0,1,52,0,0,82180.0,0.0,0,0,0,0,0
UgxUqQdcS9oWarhywn54AaABAg,0.12992465676324444,0.19511486109757492,4,0.0,1,20,0,0,81219.0,0.0,0,0,0,0,0
UgwgueiWdrphJkXw-Mh4AaABAg,0.3287602402588672,0.3116327660237067,16,0.0625,1,79,0,0,79930.0,0.125,0,0,0,0,0
UgytTlboiXN7XWOWZJt4AaABAg,0.33441576808505835,0.2961042068551296,13,0.0,1,70,1,0,79296.0,0.07692307692307693,0,0,0,0,0
UgzrSxnou0GlFmQMlFF4AaABAg,0.3945452778858285,0.454996560490284,24,0.04166666666666663,1,157,24,1,77929.0,0.4166666666666667,0,0,0,0,1
Ugy0KOk_asCF2-r0i4h4AaABAg,0.2228948470290489,0.21974644237825838,6,0.0,1,32,0,0,76039.0,0.0,0,0,0,0,0
UgwhBWh8uNJmboVol5h4AaABAg,0.14952558530087126,0.20005492541631847,7,0.0,1,35,0,1,75867.0,0.2857142857142857,0,0,0,0,0
UgzO8_DrRYGOHQjsskF4AaABAg,0.181459213762718,0.16782359327038063,5,0.0,1,27,0,0,75467.0,0.0,0,0,0,0.0,0
UgzFxlUUA-vNSiTVJd54AaABAg,0.17687916394110215,0.18630939531758445,8,0.0,1,40,1,0,75450.0,0.0,0,0,0,0.0,0
UgwIZw3jNLWet0XYCIV4AaABAg,0.083228913268241,0.16771202060543008,6,0.0,1,25,0,0,75208.0,0.0,0,0,0,0,0
Ugx1SnIKUMD5RVGyrgh4AaABAg,0.26325196459572864,0.2293645665551685,10,0.0,2,63,3,1,73272.0,0.0,0,0,0,0,0
UgwLWl2weOzcpPo6jQd4AaABAg,0.06559014030029925,0.06974148193315961,3,0.0,1,12,0,1,71651.0,0.0,0,0,0,0,0
Ugz_0pu-FNqovqUJ77d4AaABAg,0.173958497506927,0.208312064657811,8,0.0,1,38,0,0,71085.0,0.0,0,0,0,0,0
UgydeMJawqpgo7IDfDd4AaABAg,0.0247040588302517,0.18320025060052325,4,0.0,1,21,1,0,66910.0,0.0,0,0,0,0,0
Ugx4dkGqvBNgO-w66w14AaABAg,0.2391504580769845,0.38887482904980714,6,0.0,1,35,0,0,65295.0,0.0,0,0,0,0,0
UgxE2hreGP9nIRE5wBt4AaABAg,0.10077894036379725,0.10902099158871174,3,0.0,1,13,0,0,65037.0,0.0,0,0,0,0,0
